"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Techno-economic Feasibility of Implementing Carbon Capture and Storage Technology in Sri Lankan Power Sector","K. M. Guruvita; R. M. T. Damayanthi","Sri Lanka Institute of Information Technology, Colombo, Sri Lanka; Department of Electrical Engineering University of Moratuwa, Moratuwa, Sri Lanka",2021 3rd International Conference on Electrical Engineering (EECon),"3 Nov 2021","2021","","","74","79","Earth is consistently getting hotter with the highest recorded global temperature was in 2020, surpassing the previous record in 2016. Global warming is the principle explanation behind the temperature increase on the planet. As one of the maj or greenhouse gases, carbon dioxide has a strong influence on the global warming. Fossil fuel-based power generation is one of the primary source that release carbon dioxide to the environment. Carbon Capture and Storage (CCS) is an emerging global technology to reduce the carbon dioxide emissions from fossil fuel power generation plants. However, this technology is highly capital and resource intensive and those vary from country to country as well. Therefore, it is essential to estimate the economic feasibility and the impacts on the environmental resources beforehand. This study is an effort to estimate the technical and economic feasibility of implementing CCS technology in the Sri Lankan fossil fuel power plants.","","978-1-6654-1712-9","10.1109/EECon52960.2021.9580880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580880","carbon dioxide;carbon capture and storage;fossil fuel power plants;environmental resources","Costs;Greenhouse effect;Transportation;Global warming;Fossil fuels;Water pollution;Carbon capture and storage","","","","13","IEEE","3 Nov 2021","","","IEEE","IEEE Conferences"
"Intelligent evaluation of carbon emission reduction level in thermal power plants based on hybrid particle swarm optimization algorithm","L. Song","Nanjing Institute of Tourism and Hospitality, Nanjing, China",2023 4th International Conference on Smart Grid and Energy Engineering (SGEE),"1 Apr 2024","2023","","","480","483","The carbon emissions of thermal power plants are affected by operating conditions, load changes and other factors, which may lead to fluctuations in carbon emissions. Therefore, an intelligent evaluation method of carbon emission reduction level in thermal power plants based on hybrid particle swarm optimization algorithm is proposed. By analyzing the balance relationship of carbon emission reduction in thermal power plants, an intelligent evaluation model of carbon emission reduction level in thermal power plants is constructed based on chain network. Combining particle swarm optimization with simulated annealing algorithm to form a hybrid particle swarm optimization algorithm, the intelligent evaluation model of carbon emission reduction level in thermal power plants is solved, and the intelligent evaluation results of optimal carbon emission reduction level in thermal power plants are output. The experimental results show that the proposed method has high accuracy and efficiency in intelligent assessment of carbon emission reduction level in thermal power plants.","","979-8-3503-5961-9","10.1109/SGEE60678.2023.10481732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10481732","Hybrid particle swarm optimization algorithm;Thermal power plants;Carbon emission reduction level;Intelligent evaluation;Chain network","Thermal factors;Thermal engineering;Carbon dioxide;Simulated annealing;Hybrid power systems;Thermal analysis;Smart grids","","","","10","IEEE","1 Apr 2024","","","IEEE","IEEE Conferences"
"Prediction of Carbon Emissions from Thermal Power Plants Based on PCA-BiLSTM","L. Qiao; S. Chen; R. Qu; R. Ran; Y. Guo; W. Tan","State Grid Liaoning Information and Communication Company, Shenyang, China; State Grid Liaoning Information and Communication Company, Shenyang, China; State Grid Liaoning Information and Communication Company, Shenyang, China; State Grid Liaoning Information and Communication Company, Shenyang, China; College of Computer Science and Engineering, Northeastern University, Shenyang, China; College of Computer Science and Engineering, Northeastern University, Shenyang, China",2023 3rd International Conference on Electronic Information Engineering and Computer Science (EIECS),"21 Feb 2024","2023","","","39","42","With the continuous development of artificial intelligence technology, the application of prediction technology in various fields is becoming increasingly widespread. Based on the methods of Principal Component Analysis (PCA) and Bidirectional Long Short Term Memory Neural Network (BiLSTM), principal component analysis is used to reduce the dimensionality of multiple features related to carbon emissions from thermal power plants, in order to reduce the correlation between data dimensions and features. Then, construct a BiLSTM model to learn complex patterns and dependencies in time series data, and predict the future carbon emissions of thermal power plants. The experimental results show that the prediction method based on PCA-BiLSTM performs well in predicting carbon emissions of thermal power plants, providing a feasible and effective solution for predicting carbon emissions of thermal power plants.","","979-8-3503-1667-4","10.1109/EIECS59936.2023.10435557","State Grid Corporation of China; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435557","Prediction technology;Principal component analysis;Bidirectional Long Short Term Memory Neural Network;Carbon emission prediction","Analytical models;Carbon dioxide;Predictive models;Thermal management;Data models;Power generation;Principal component analysis","","","","16","IEEE","21 Feb 2024","","","IEEE","IEEE Conferences"
"Environmental Economic Dispatch of Thermal Power Plants in Saudi Arabia: A Case Study","M. Mutlaq; S. Kumar R.","Department of Electrical and Computer Engineering, King Abdulaziz University, Jeddah, Saudi Arabia; King Abdulaziz University, Jeddah, SA",2019 Industrial & Systems Engineering Conference (ISEC),"11 Apr 2019","2019","","","1","5","Power generation in Saudi Arabia is mostly from thermal power plants. This paper involves the minimization of the total cost of power generation from thermal plants in the Western Operating Area of Saudi Electricity Company, incorporating the environmental constraints and the transmission line losses. Economic Dispatch is one of the most important function that is performed in a power system control center so as to minimize the oil consumption in thermal power plants and thus decrease the power generation cost. As the power generation process in thermal power plants causes the emission of significant amount of harmful gases such as carbon dioxide (CO2), and oxide of nitrogen (NOx), it is important to minimize the emission of these gases by appropriate allocation of the total power demand among the various power plants in the system on a continuous basis. Hence this paper focusses on the minimization of the fuel cost of the thermal power plants subjected to these emission constraints. The gradient descent technique based on Lagrange multiplier method is utilized in this environmental economic dispatch of the thermal power plants. Investigations are carried out with the daily hourly load curve corresponding to three days, each one covering three different seasons: summer, winter and Hajj. The investigations reveal that a considerable reduction in the emission of gases can be achieved with the implementation of the environmental economic dispatch function in the area load dispatch center.","","978-1-7281-0145-3","10.1109/IASEC.2019.8686538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686538","Economic Dispatch;Environmental Dispatch;Thermal power Plants;Carbon Dioxide Emission;Nitrogen Oxides Emission","Power generation;Fuels;Environmental economics;Thermal loading;Nitrogen","","1","","15","IEEE","11 Apr 2019","","","IEEE","IEEE Conferences"
"An Analysis of Decision to Retrofit Coal Based Power Plant with Carbon Capture Technology Having Uncertain Parameters","S. Kumari; S. Bera","Department of Operations Management, Indian Institute of Management Ranchi, India; Department of Operations Management, Indian Institute of Management Ranchi, India",2020 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"12 Jan 2021","2020","","","215","219","The increasing industrialization since its inception has drawn attention towards the impact of industrial activities on the global environment. The increasing concern of global warming and rising earth's temperature has driven the institution of the Paris Agreement to examine the threshold limit of emission of carbon dioxide, which is the major component of greenhouse gases (GHG). Carbon capture and storage (CCS) technologies play a vital role in achieving net-zero carbon emission. The motivation behind this paper is to review the execution of CCS innovation in thermal power plants with the help of a mixed-integer nonlinear programming model. The problem of uncertainty of emission information in the thermal power plant is solved using the fuzzy technique. The results presented here demonstrate the option of selection of technology in a coal-fired power plant.","","978-1-5386-7220-4","10.1109/IEEM45057.2020.9309837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9309837","Carbon capture and storage;Fuzzy optimization;Greenhouse gases;Mixed-integer nonlinear programming","Power generation;Carbon dioxide;Optimization;Protocols;Programming;Uncertainty;Mathematical model","","2","","11","IEEE","12 Jan 2021","","","IEEE","IEEE Conferences"
"Research on On-Line Monitoring Technology of CO2 in Boiler Combustion and Analysis of Emission Reduction","W. Jiang; Z. Wang; N. Wang; D. Zhang; S. Guo; Z. Song","Jilin Electric Power Research Institute, Co.Ltd., Changchun, China; Jilin Electric Power Research Institute, Co.Ltd., Changchun, China; Jilin Electric Power Research Institute, Co.Ltd., Changchun, China; Jilin Electric Power Research Institute, Co.Ltd., Changchun, China; Jilin Electric Power Research Institute, Co.Ltd., Changchun, China; Jilin Electric Power Research Institute, Co.Ltd., Changchun, China","2023 3rd International Signal Processing, Communications and Engineering Management Conference (ISPCEM)","18 Apr 2024","2023","","","196","200","In this paper, an online monitoring method of CO2 emissions from power generation enterprises is introduced. An on-line monitoring system for CO2 emissions from boiler combustion was developed and successfully operated in a power plant. Through the installation, operation and data processing analysis of the system, on the basis of obtaining high-quality carbon emission monitoring data, how to use carbon emission monitoring data to save energy and reduce carbon emissions in thermal power plants is studied.","","979-8-3503-0702-3","10.1109/ISPCEM60569.2023.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499334","carbon dioxide;boiler;combustion;on-line monitor;energy saving;emission reduction","Energy conservation;Thermal engineering;Carbon dioxide;Boilers;Thermal management;Combustion;Thermal analysis","","","","13","IEEE","18 Apr 2024","","","IEEE","IEEE Conferences"
"Carbon Emission Prediction of Thermal Power Plants Based on Machine Learning Techniques","C. Zhu; P. Shi; Z. Li; M. Li; H. Zhang; T. Ding","State Grid Shaanxi Electric Power Research Institute, Xi’an Shaanxi, China; State Grid Shaanxi Electric Power Research Institute, Xi’an Shaanxi, China; State Grid Shaanxi Electric Power Research Institute, Xi’an Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an Shaanxi, China","2022 5th International Conference on Energy, Electrical and Power Engineering (CEEPE)","1 Jun 2022","2022","","","1142","1146","Since the magnificent goal of Peak Carbon Dioxide Emissions and Carbon Neutrality was put forward in 2020, carbon emission reduction has attracted unprecedented attention. The power industry must fulfill its carbon emission reduction obligations as soon as possible. Thermal power plants are the main source of carbon emissions in the power industry, so finding out the key influencing factors of thermal-power-plant carbon emission and making accurate predictions are important measures to promote the low-carbon development of the power industry. Although some precise models have been proposed, most power plants cannot obtain all the parameters required by the precise models in the actual production practice, which limits their application. Machine learning technology accepts numerical data as input and establishes the mapping relationship between variables automatically, which results in loose requirements on data. This paper summarizes several key influencing factors of carbon dioxide emissions of thermal power plants that are easy to observe and establishes a prediction model of carbon dioxide emissions of thermal power plants based on eXtreme Gradient Boosting. In addition, we compare our method with two machine learning methods proposed in previous research and obtain a satisfactory result.","","978-1-6654-7905-9","10.1109/CEEPE55110.2022.9783417","Electric Power Research Institute; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9783417","carbon emission prediction;machine learning;power plant","Thermal factors;Temperature;Carbon dioxide;Predictive models;Power industry;Numerical models;Thermal analysis","","4","","21","IEEE","1 Jun 2022","","","IEEE","IEEE Conferences"
"Low-carbon economy optimal dispatching method considering integrated energy system of carbon capture and storage park","X. Yuan; W. Gao; C. Hao; W. Zhou","State Key Laboratory of Power Grid, Safety and Energy Conservation (China Electric Power Research Institute), Beijing, China; College of Electrical Engineering and Automation, Shandong University of Science and Technology, Qingdao, China; College of Electrical Engineering and Automation, Shandong University of Science and Technology, Qingdao, China; School of Business Shandong, Yingcai University, Jinan, China",2023 China Automation Congress (CAC),"19 Mar 2024","2023","","","2618","2623","To efficiently utilize the carbon reduction capacity of the integrated energy system (IES) and optimize the overall operation cost of the park-level integrated energy system(PLIES), an operation optimization method of the PLIES that takes into account low-carbon and economic operation is proposed. First, the composition structure of the PLIES is designed, and key subsystem models such as carbon capture device model, multi-energy supply subsystem model with hydrogen storage function, and hierarchical carbon trading mechanism(CTS) model are constructed. Secondly, with the objective of minimizing the sum of energy procurement cost, wind abandonment cost, carbon trading cost and CO2 sales profit, a low-carbon economic optimization operation model of the PLIES with carbon capture device under the hierarchical CTS is constructed. The model is solved by using CPLEX software. Finally, through the simulation analysis of various scenarios, it is verified that the operation cost and carbon emission are both ideal under the graded CTS with carbon capture equipment in the PLIES, with a view to providing reference for the implementation of the “carbon reduction and peaking” energy strategy in China.","2688-0938","979-8-3503-0375-9","10.1109/CAC59555.2023.10450634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10450634","Tiered carbon trading mechanism;Carbon capture;Park-level integrated energy system;Low-carbon economy","Procurement;Costs;Wind energy;Biological system modeling;Optimization methods;Emissions trading;Low-carbon economy","","","","10","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"Research on carbon emission reduction Calculation of thermal power industry under double carbon background","Z. Li; P. Lv; X. Ju; C. Zhu","State Grid Shaanxi Electric Power Company Electric Power Research Institute, Xi'an, China; State Grid Shaanxi Electric Power Company Electric Power Research Institute, Xi'an, China; State Grid Shaanxi Electric Power Company Electric Power Research Institute, Xi'an, China; State Grid Shaanxi Electric Power Company Electric Power Research Institute, Xi'an, China","2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)","26 Jan 2023","2022","5","","1905","1910","Double carbon goal proposals make the energy saving and emission reduction requirements further improved, at present, energy consumption in our country will still be mainly by coal, coal power will still be the main power generation way in the long and long-term, which has directly caused the thermal power industry energy saving and emission reduction pressure greater. Based on the analysis of the current development trend and problems of thermal power industry, this paper adopts the carbon emission coefficient method, taking the carbon emission of Shaanxi Province as an example, and studies the influencing factors of carbon emission based on the STIRPAT model. It can be found that population, per capita GDP, the proportion of secondary industry and urbanization rate have a positive impact on the carbon emission of energy consumption. The impact of carbon intensity is negative.","2693-2776","978-1-6654-7968-4","10.1109/IMCEC55388.2022.10019987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10019987","Double carbon;Carbon emissions;Carbon emission factor method","Energy consumption;Economic indicators;Sociology;Energy measurement;Carbon dioxide;Coal;Thermal management","","1","","7","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"A Method for Low Carbon Operation Decision Support of Thermal Power Plants Based on Data-driven Causal Inference","Q. Fang; J. Huang; H. Li; Y. Lai; X. Ma; F. Li","NARI Group Corporation (State Grid Electric Power Research Institute), Nanjing, China; NARI Group Corporation (State Grid Electric Power Research Institute), Nanjing, China; Institute of Economic Technology State Grid Qinghai Electric Power Company, Xining, China; NARI Group Corporation (State Grid Electric Power Research Institute), Nanjing, China; Institute of Economic Technology State Grid Qinghai Electric Power Company, Xining, China; Institute of Economic Technology State Grid Qinghai Electric Power Company, Xining, China",2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),"9 May 2024","2023","","","5224","5229","The national carbon market is one of the core policy tools to achieve the carbon peaking and carbon neutrality goals. In 2021, the first performance period of the power generation industry in the national carbon market was officially launched, and the thermal power industry is the only emission control industry in the national carbon market. Under the background of the current dual carbon revolution, emission control requirements are gradually increased, and the impact on the economic efficiency of thermal power plants is further amplified by whether low-carbon operation can be realized. However, due to the impact of technology and other objective factors, the carbon emission intensity of thermal power units is affected by the unit characteristics, fuel, load rate and other factors, and there are many factors affecting the carbon emission level of thermal power plants. Therefore, how to achieve reasonable control of thermal power plant carbon emissions under given conditions becomes an important factor affecting the economics of thermal power plants. Since various operational control quantities of thermal power plants, such as power supply and heat supply, are closely related to carbon emissions, it is effective to construct a cause-effect diagram to fit the relationship between operational control quantities and carbon emissions based on data-driven cause-effect inference, and to perform sensitivity analysis on carbon emission levels to achieve reasonable control of carbon emissions for low-carbon operation of thermal power plants. In this paper, we present a data-driven causal inference method for low-carbon operation of thermal power plants. The causal diagram is constructed through a priori knowledge, and the relationship equation between the intervening variables and the outcome variables is fitted based on the matching model, and the sensitivity analysis of the unit carbon emissions is carried out to realize the auxiliary decision-making for low-carbon operation of thermal power plants.","","979-8-3503-4509-4","10.1109/EI259745.2023.10512665","State Grid Science and Technology Project(grant numbers:5100-202134560A-0-5-SF); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10512665","causal inference;causal diagram;general propensity score matching;thermal power plant;low carbon operation","Economics;Sensitivity analysis;Power supplies;Decision making;Carbon dioxide;Thermal conductivity;Mathematical models","","","","16","IEEE","9 May 2024","","","IEEE","IEEE Conferences"
